Supplier ID,Cost,Quality,Delivery time,Reliability,Flexibility,Capacity,Innovation,Reputation,Financial stability,Environmental impact,Social responsibility,Safety record,Technical expertise,Customer service,Lead time,Responsiveness,Contract terms,Diversity,Sustainability,Scalability,Supplier’s default
1001,0.874,0.758,0.082,0.114,0.082,0.871,0.24,Bad,0.478,0.806,0.359,0.13,0.947,0.463,0.969,0.044,0.812,0.044,0.853,0.663,1
1002,0.972,0.694,0.955,0.963,0.244,0.849,0.001,Good,0.713,0.776,0.759,0.033,0.242,0.867,0.523,0.583,0.968,0.49,0.515,0.028,2
1003,0.827,0.413,0.199,0.577,0.127,0.232,0.476,Excellent,0.805,0.465,0.549,0.06,0.192,0.446,0.145,0.568,0.081,0.822,0.826,0.158,2
1004,0.422,0.555,0.969,0.76,0.773,0.011,0.358,Average,0.847,0.091,0.054,0.209,0.28,0.699,0.863,0.423,0.271,0.96,0.469,0.914,1
1005,0.767,0.958,0.915,0.719,0.715,0.553,0.651,Bad,0.578,0.989,0.219,0.351,0.131,0.406,0.963,0.939,0.981,0.004,0.013,0.575,1
1006,0.806,0.828,0.578,0.558,0.618,0.091,0.352,Average,0.622,0.565,0.451,0.717,0.799,0.86,0.616,0.751,0.557,0.464,0.235,0.326,1
1007,0.972,0.503,0.008,0.731,0.356,0.751,0.528,Excellent,0.63,0.568,0.276,0.657,0.578,0.229,0.018,0.358,0.68,0.883,0.932,0.451,2
1008,0.019,0.657,0.996,0.165,0.55,0.43,0.603,Excellent,0.868,0.024,0.698,0.618,0.433,0.585,0.892,0.088,0.34,0.389,0.031,0.727,1
1009,0.588,0.805,0.307,0.317,0.321,0.516,0.417,Excellent,0.161,0.902,0.789,0.149,0.203,0.979,0.498,0.593,0.841,0.673,0.999,0.503,2
1010,0.392,0.956,0.351,0.279,0.331,0.252,0.629,Bad,0.861,0.252,0.324,0.038,0.947,0.649,0.25,0.029,0.122,0.541,0.874,0.248,1
1011,0.068,0.389,0.052,0.446,0.744,0.183,0.704,Bad,0.839,0.851,0.197,0.428,0.178,0.005,0.615,0.426,0.029,0.647,0.034,0.168,1
1012,0.106,0.907,0.396,0.563,0.224,0.294,0.549,Excellent,0.945,0.665,0.984,0.304,0.961,0.953,0.808,0.197,0.921,0.772,0.362,0.952,2
1013,0.861,0.169,0.825,0.618,0.923,0.874,0.729,Good,0.668,0.695,0.971,0.187,0.994,0.754,0.689,0.931,0.643,0.609,0.737,0.122,2
1014,0.468,0.893,0.765,0.722,0.117,0.859,0.556,Good,0.121,0.193,0.768,0.087,0.813,0.424,0.977,0.306,0.787,0.899,0.073,0.793,1
1015,0.359,0.336,0.783,0.829,0.639,0.871,0.996,Good,0.534,0.79,0.128,0.355,0.122,0.214,0.441,0.177,0.576,0.635,0.184,0.469,1
1016,0.273,0.373,0.03,0.973,0.963,0.442,0.863,Good,0.929,0.301,0.113,0.227,0.544,0.585,0.084,0.262,0.197,0.414,0.157,0.978,1
1017,0.951,0.807,0.765,,0.695,0.075,0.494,Average,0.487,0.738,0.662,0.173,0.544,0.928,0.717,0.973,0.524,0.363,0.973,0.882,2
1018,0.218,0.41,0.798,0.502,0.338,0.015,0.968,Excellent,0.651,0.747,0.638,0.506,0.944,0.391,0.551,0.412,0.085,0.402,0.66,0.23,2
1019,0.465,0.536,0.066,0.475,0.527,0.913,0.798,Bad,0.762,0.841,0.917,0.541,0.185,0.599,0.845,0.156,0.825,0.608,0.897,0.328,1
